Tank,date_time2,Date,Time,Status,day,month,Cohort,Zub_temp,Target.temp,meanTemp,Day
1,2022-02-04 07:00:00,2022-02-04,07:00:00,Symb,4,Feb,LD,23.665153,25,24.6,5
1,2022-02-04 08:00:00,2022-02-04,08:00:00,Apo,4,Feb,LD,24.1924946666667,25,24.6,5
1,2022-02-04 08:00:00,2022-02-04,08:00:00,Symb,4,Feb,LD,24.0299946666667,25,24.6,5
1,2022-02-04 09:00:00,2022-02-04,09:00:00,Apo,4,Feb,LD,24.081528,25,24.6,5
1,2022-02-04 09:00:00,2022-02-04,09:00:00,Symb,4,Feb,LD,23.919028,25,24.6,5
1,2022-02-04 10:00:00,2022-02-04,10:00:00,Apo,4,Feb,LD,23.997403,25,24.6,5
1,2022-02-04 10:00:00,2022-02-04,10:00:00,Symb,4,Feb,LD,23.834903,25,24.6,5
1,2022-02-04 11:00:00,2022-02-04,11:00:00,Apo,4,Feb,LD,23.8931946666667,25,24.6,5
1,2022-02-04 11:00:00,2022-02-04,11:00:00,Symb,4,Feb,LD,23.7306946666667,25,24.6,5
1,2022-02-04 12:00:00,2022-02-04,12:00:00,Apo,4,Feb,LD,24.1187696666667,25,24.6,5
1,2022-02-04 12:00:00,2022-02-04,12:00:00,Symb,4,Feb,LD,23.9562696666667,25,24.6,5
1,2022-02-04 13:00:00,2022-02-04,13:00:00,Apo,4,Feb,LD,23.888403,25,24.6,5
1,2022-02-04 13:00:00,2022-02-04,13:00:00,Symb,4,Feb,LD,23.725903,25,24.6,5
1,2022-02-04 14:00:00,2022-02-04,14:00:00,Apo,4,Feb,LD,24.059703,25,24.6,5
1,2022-02-04 14:00:00,2022-02-04,14:00:00,Symb,4,Feb,LD,23.897203,25,24.6,5
1,2022-02-04 15:00:00,2022-02-04,15:00:00,Apo,4,Feb,LD,23.9387363333333,25,24.6,5
1,2022-02-04 15:00:00,2022-02-04,15:00:00,Symb,4,Feb,LD,23.7762363333333,25,24.6,5
1,2022-02-04 16:00:00,2022-02-04,16:00:00,Apo,4,Feb,LD,24.4575696666667,25,24.6,5
1,2022-02-04 16:00:00,2022-02-04,16:00:00,Symb,4,Feb,LD,24.2950696666667,25,24.6,5
1,2022-02-04 17:00:00,2022-02-04,17:00:00,Apo,4,Feb,LD,25.072228,25,24.6,5
1,2022-02-04 17:00:00,2022-02-04,17:00:00,Symb,4,Feb,LD,24.909728,25,24.6,5
1,2022-02-04 18:00:00,2022-02-04,18:00:00,Apo,4,Feb,LD,24.9286196666667,25,24.6,5
1,2022-02-04 18:00:00,2022-02-04,18:00:00,Symb,4,Feb,LD,24.7661196666667,25,24.6,5
1,2022-02-04 19:00:00,2022-02-04,19:00:00,Apo,4,Feb,LD,24.950653,25,24.6,5
1,2022-02-04 19:00:00,2022-02-04,19:00:00,Symb,4,Feb,LD,24.788153,25,24.6,5
1,2022-02-04 20:00:00,2022-02-04,20:00:00,Apo,4,Feb,LD,24.990703,25,24.6,5
1,2022-02-04 20:00:00,2022-02-04,20:00:00,Symb,4,Feb,LD,24.828203,25,24.6,5
1,2022-02-04 21:00:00,2022-02-04,21:00:00,Apo,4,Feb,LD,24.923803,25,24.6,5
1,2022-02-04 21:00:00,2022-02-04,21:00:00,Symb,4,Feb,LD,24.761303,25,24.6,5
1,2022-02-04 22:00:00,2022-02-04,22:00:00,Apo,4,Feb,LD,24.9238363333333,25,24.6,5
1,2022-02-04 22:00:00,2022-02-04,22:00:00,Symb,4,Feb,LD,24.7613363333333,25,24.6,5
1,2022-02-04 23:00:00,2022-02-04,23:00:00,Apo,4,Feb,LD,25.006103,25,24.6,5
1,2022-02-04 23:00:00,2022-02-04,23:00:00,Symb,4,Feb,LD,24.843603,25,24.6,5
1,2022-02-05 00:00:00,2022-02-05,00:00:00,Apo,5,Feb,LD,24.9515946666667,25,24.6,6
1,2022-02-05 00:00:00,2022-02-05,00:00:00,Symb,5,Feb,LD,24.7890946666667,25,24.6,6
1,2022-02-05 01:00:00,2022-02-05,01:00:00,Apo,5,Feb,LD,24.9001446666667,25,24.6,6
1,2022-02-05 01:00:00,2022-02-05,01:00:00,Symb,5,Feb,LD,24.7376446666667,25,24.6,6
1,2022-02-05 02:00:00,2022-02-05,02:00:00,Apo,5,Feb,LD,24.942578,25,24.6,6
